id,input,output,note,label
3240,Run SYN flood with target port 3000 in the app-ns namespace,krknctl run syn-flood --target-port 3000 --namespace app-ns,,syn-flood
3241,gimme the command for memory hog on workers,krknctl run node-memory-hog --memory-consumption 90% --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
3242,Run the VMI deletion in infra namespace with 1 iteration and wait for 5 minutes,krknctl run kubevirt-outage --namespace infra --vm-name <PLACEHOLDER_VM_NAME> --iterations 1 --wait-duration 300,Replace <PLACEHOLDER_VM_NAME> with actual VM name,kubevirt-outage
3243,Create a network filter for nodes labeled node-role.kubernetes.io/worker,"krknctl run node-network-filter --ingress True --egress True --ports 80,443 --node-selector node-role.kubernetes.io/worker= --chaos-duration 60 --namespace <TARGET_NAMESPACE>",Replace <TARGET_NAMESPACE> with the target namespace,node-network-filter
3244,Execute CPU hog on nodes labeled with node-role=worker for 20 seconds,krknctl run node-cpu-hog --chaos-duration 20 --cpu-percentage 50 --node-selector node-role=worker,,node-cpu-hog
3245,Run container restart in default namespace with telemetry and events backup,krknctl run container-scenarios --namespace default --telemetry-enabled True --telemetry-events-backup True --telemetry-run-tag restart-test --telemetry-username user,,container-scenarios
3246,hijack the service and return mock responses,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
3247,I need to run memory exhaustion with telemetry and events backup,krknctl run node-memory-hog --chaos-duration 20 --memory-consumption 90% --namespace dev --telemetry-enabled True --telemetry-events-backup enabled --telemetry-group memory-stress-test --telemetry-username telemetry-user,,node-memory-hog
3248,I need a command to delete VMI in namespace staging,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME>,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
3249,Run zone disruption in AWS with ES integration,krknctl run zone-outages --cloud-type aws --aws-access-key-id <PLACEHOLDER_AWS_ACCESS_KEY_ID> --aws-secret-access-key <PLACEHOLDER_AWS_SECRET_ACCESS_KEY> --subnet-id subnet-12345 --enable-es True --es-server http://localhost --es-port 9200 --es-metrics-index chaos-metrics --es-telemetry-index telemetry,Replace <PLACEHOLDER_AWS_ACCESS_KEY_ID> and <PLACEHOLDER_AWS_SECRET_ACCESS_KEY> with actual AWS credentials. Replace subnet-12345 with the correct subnet ID.,zone-outages
3250,Run pod failure test in default namespace with label app=nginx and store telemetry in ES,krknctl run pod-scenarios --namespace default --pod-label app=nginx --disruption-count 1 --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username esuser --es-password secret --es-verify-certs False --es-metrics-index default-pod-metrics --es-alerts-index default-pod-alerts,,pod-scenarios
3251,run date drift on nodes in app-ns,krknctl run time-scenarios --object-type node --namespace app-ns --action skew_date,,time-scenarios
3252,Inject SYN attack on port 5000 in the infra namespace with window size 2048,krknctl run syn-flood --target-port 5000 --namespace infra --window-size 2048,,syn-flood
3253,"Run ingress and egress chaos for pods labeled app=web in the app-ns namespace, but not targeting those with label status=ready","krknctl run pod-network-chaos --namespace app-ns --label-selector app=web --traffic-type '[ingress,egress]' --exclude-label status=ready",,pod-network-chaos
3254,Run a container scenario in namespace kube-system with label app=frontend and enable health check using custom CA,krknctl run container-scenarios --namespace kube-system --label-selector app=frontend --health-check-url https://monitor.kube.io --health-check-verify custom,,container-scenarios
3255,gimme the command for blocking traffic to pods labeled tier=backend,"krknctl run application-outages --namespace <TARGET_NAMESPACE> --pod-selector '{tier: backend}' --block-traffic-type '[Ingress, Egress]'",Replace <TARGET_NAMESPACE> with the actual namespace name,application-outages
3256,Execute kubevirt outage without specifying namespace,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --timeout 90,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
3257,What's the syntax for running a bare metal node scenario?,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual path to your scenario file,node-scenarios-bm
3258,Execute memory hog in openshift with 20% consumption and 30 seconds duration,krknctl run node-memory-hog --chaos-duration 30 --memory-consumption 20% --namespace <TARGET_NAMESPACE> --distribution openshift --wait-duration 30,Replace <TARGET_NAMESPACE> with the desired namespace,node-memory-hog
3259,Run a node crash scenario targeting all nodes with the label app=frontend.,krknctl run node-scenarios --action node_crash_scenario --label-selector app=frontend,,node-scenarios
3260,"Execute container scenario with 3 iterations, namespace prod, and wait for 90 seconds",krknctl run container-scenarios --iterations 3 --namespace prod --wait-duration 90,,container-scenarios
3261,plz do container restart in namespace kube-system,krknctl run container-scenarios --namespace kube-system,,container-scenarios
3262,"For the audit, we need to filter traffic on pods labeled with node-role=worker.",krknctl run pod-network-filter --ingress True --egress False --ports 9000 --pod-selector node-role=worker --namespace default --chaos-duration 300,,pod-network-filter
3263,Simulate a delete VMI in namespace staging.,krknctl run kubevirt-outage --namespace staging --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
3264,What's the command for network chaos with latency and packet loss?,"krknctl run network-chaos --traffic-type ingress --network-params '{latency: 50ms, loss: 0.02}'",,network-chaos
3265,What command do I use to run disk pressure with 20m write on infra namespace and log in ES,krknctl run node-io-hog --io-write-bytes 20m --namespace infra --enable-es True --es-server https://elasticsearch.internal --es-port 9200 --es-metrics-index metrics --es-telemetry-index telemetry,,node-io-hog
3266,Block port 443 ingress and egress for 60 seconds,krknctl run node-network-filter --ingress True --egress True --ports 443 --chaos-duration 60,,node-network-filter
3267,"Run an app outage in default namespace for 20 minutes, target pods labeled app=backend with telemetry and ES logging","krknctl run application-outages --namespace default --pod-selector '{app: backend}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 1200 --telemetry-enabled True --enable-es True",,application-outages
3268,Run service hijacking scenario with alerts and telemetry in test namespace,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH> --telemetry-enabled True --enable-alerts True,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
3269,Disrupt pods on nodes with role=master,krknctl run pod-scenarios --node-label-selector role=master,,pod-scenarios
3270,What's the syntax for running disk stress with telemetry and events backup?,krknctl run node-io-hog --telemetry-enabled True --telemetry-events-backup True --telemetry-run-tag disk-stress-123 --node-selector node-role=worker,,node-io-hog
3271,Run a scenario to delete a virtual machine in namespace kube-system,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --timeout 60,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
3272,We're preparing for a chaos engineering session and want to test cluster recovery after a power outage on Azure.,krknctl run power-outages --shutdown-duration 1200 --cloud-type azure --timeout 600,,power-outages
3273,"Execute network chaos for pods labeled with release=stable, but skip the ones in namespace test",krknctl run pod-network-chaos --label-selector release=stable --exclude-label namespace=test,,pod-network-chaos
3274,Launch the service hijacking test using the config file,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
3275,Execute PVC disk fill in namespace infra and log to ES,krknctl run pvc-scenario --namespace infra --fill-percentage 25 --enable-es True --es-server http://elasticsearch.local --es-port 9200 --es-password secret --es-metrics-index pvc-metrics --es-alerts-index alerts,,pvc-scenarios
3276,Gimme the command for pod network chaos in the default namespace to isolate pods labeled app=backend.,"krknctl run pod-network-chaos --namespace default --label-selector app=backend --traffic-type '[ingress,egress]' --test-duration 200",,pod-network-chaos
3277,Disrupt nodes in the monitoring namespace with stop-start,krknctl run node-scenarios --action node_stop_start_scenario --label-selector app=monitoring,,node-scenarios
3278,Execute a block traffic to pods with label tier=frontend in namespace infra.,krknctl run application-outages --namespace infra --pod-selector '{tier: frontend}' --chaos-duration 600 --block-traffic-type '[Egress]',,application-outages
3279,Run scenario for 20 seconds to filter pod interfaces eth0 and eth1 on port 443,"krknctl run pod-network-filter --ingress True --egress True --ports 443 --interfaces eth0,eth1 --chaos-duration 20",,pod-network-filter
3280,"Run a pod network filter with Cerberus and ES reporting in the test namespace, filtering traffic on ports 80 and 443 for 90 seconds.","krknctl run pod-network-filter --ingress True --egress True --ports 80,443 --pod-selector app=test --namespace test --chaos-duration 90 --cerberus-enabled True --enable-es True --es-server http://es.test.com",,pod-network-filter
3281,"Run io stress with node selector, namespace and 50% write",krknctl run node-io-hog --chaos-duration 60 --io-write-bytes 50% --node-selector node-role.kubernetes.io/worker --namespace prod,,node-io-hog
3282,Execute service hijacking and store data in Elasticsearch using default settings,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --enable-es True --es-server http://localhost:9200 --es-metrics-index service-hijack-data --es-username admin --es-password password,Replace <PLACEHOLDER_SCENARIO_FILE> with the path to your scenario file,service-hijacking
3283,Generate memory pressure for 90 seconds with 50% consumption,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 50% --namespace staging,,node-memory-hog
3284,Create iptables rules on worker nodes to block ingress and egress traffic using telemetry,"krknctl run node-network-filter --ingress True --egress True --ports 2379,2380 --chaos-duration 60 --node-selector node-role.kubernetes.io/worker= --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-group node-chaos --telemetry-prometheus-backup true",,node-network-filter
3285,delete the virtual machine instance in dev,krknctl run kubevirt-outage --namespace dev --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
3286,Block ingress traffic to pods labeled app=frontend in the dev namespace using OVS,krknctl run pod-network-chaos --namespace dev --label-selector app=frontend --traffic-type '[ingress]' --test-duration 60,,pod-network-chaos
3287,gimme node start command for worker nodes,krknctl run node-scenarios --action node_start_scenario --label-selector node-role=worker,,node-scenarios
3288,Run the kubevirt outage in default namespace with daemon mode and 2 kill counts,krknctl run kubevirt-outage --namespace default --vm-name <PLACEHOLDER_VM_NAME> --daemon-mode True --kill-count 2,Replace <PLACEHOLDER_VM_NAME> with actual VM name,kubevirt-outage
3289,Create OOM pressure for 10 minutes using 20% memory consumption,krknctl run node-memory-hog --chaos-duration 600 --memory-consumption 20% --namespace production,,node-memory-hog
3290,I need to run ingress network chaos with detailed metrics capture and telemetry,"krknctl run network-chaos --traffic-type ingress --network-params '{latency: 20ms, loss: 0.01}' --capture-metrics True --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-username user --telemetry-password <TELEMETRY_PASSWORD> --wait-duration 300",Replace <TELEMETRY_PASSWORD> with the actual telemetry password,network-chaos
3291,I need to run a container disruption for label app=web in production namespace,krknctl run container-scenarios --namespace production --label-selector app=web,,container-scenarios
3292,Create a network filter scenario for pods in monitoring namespace,"krknctl run pod-network-filter --ingress True --egress True --ports 80,443 --pod-selector app=prometheus --namespace monitoring --chaos-duration 120 --protocols tcp",,pod-network-filter
3293,We need to disrupt zone in AWS with telemetry and event logging,krknctl run zone-outages --cloud-type aws --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-98765 --zone ap-northeast-2c --telemetry-enabled True --telemetry-events-backup True --telemetry-group aws-zone-disruption,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with valid AWS credentials,zone-outages
3294,Initiate container restart in a pod without namespace,krknctl run container-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,container-scenarios
3295,Delete the VM in namespace default using telemetry with full backup and custom archive,krknctl run kubevirt-outage --namespace default --vm-name default-vm --telemetry-enabled True --telemetry-archive-path /var/backup --telemetry-backup-threads 4 --telemetry-run-tag vm-deletion,,kubevirt-outage
3296,"just block ingress, what's the syntax for killing pods?",krknctl run pod-scenarios --namespace production --pod-label app=api --disruption-count 2,,pod-scenarios
3297,Run container scenario in dev namespace and target pods labeled app=api,krknctl run container-scenarios --namespace dev --label-selector app=api,,container-scenarios
3298,"Block pod network traffic using krknctl for port 443 in default namespace, capture metrics and enable alert monitoring",krknctl run pod-network-filter --ingress True --egress True --ports 443 --pod-selector app=web --namespace default --chaos-duration 120 --capture-metrics True --enable-alerts True,,pod-network-filter
3299,Run a pod disruption scenario in the production namespace targeting pods with label app=web,krknctl run pod-scenarios --namespace production --pod-label app=web,,pod-scenarios
3300,Run the pod network chaos scenario continuously in daemon mode for 5 minutes and ensure a 2-minute post-chaos wait.,krknctl run pod-network-chaos --namespace production --label-selector app=api --traffic-type '[egress]' --test-duration 300 --daemon-mode True --wait-duration 120,,pod-network-chaos
3301,Start node scenarios on bare metal with a custom configuration,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual path to your scenario file,node-scenarios-bm
3302,How can I run a service hijacking scenario using krknctl?,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file,service-hijacking
3303,plz run node outage on bare metal,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual path to your scenario file,node-scenarios-bm
3304,What's the syntax for setting up an application outage in namespace default with pod selector '{app: web}'?,"krknctl run application-outages --namespace default --pod-selector '{app: web}' --block-traffic-type '[Ingress, Egress]'",,application-outages
3305,How do I run the PVC disk fill with alerts and metrics capture?,krknctl run pvc-scenario --namespace test --enable-alerts True --capture-metrics True,,pvc-scenarios
3306,Create a memory hog with 25m consumption and node selector,krknctl run node-memory-hog --chaos-duration 60 --memory-consumption 25m --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
3307,Simulate a cluster shutdown for 20 minutes and store data in Elasticsearch with TLS verification enabled,krknctl run power-outages --shutdown-duration 1200 --cloud-type gcp --enable-es True --es-server https://es.example.com --es-port 9200 --es-verify-certs True --es-metrics-index metrics --es-telemetry-index telemetry,,power-outages
3308,run X plz with ingress blocked for web pods,krknctl run pod-network-chaos --namespace staging --label-selector app=web --traffic-type '[ingress]' --test-duration 120,,pod-network-chaos
3309,Run syn flood targeting node with label env=production,krknctl run syn-flood --target-port 80 --node-selectors env=production,,syn-flood
3310,Block egress traffic for 60 seconds to pods labeled app=backend in namespace infra,krknctl run pod-network-chaos --namespace infra --label-selector app=backend --traffic-type '[egress]' --test-duration 60,,pod-network-chaos
3311,Execute container failure in namespace kube-system with Prometheus and capture-metrics.,krknctl run container-scenarios --namespace kube-system --label-selector k8s-app=kube-dns --prometheus-url http://prometheus:9090 --capture-metrics True,,container-scenarios
3312,need to block traffic on port 443,krknctl run node-network-filter --ingress True --egress True --ports 443 --chaos-duration 60,,node-network-filter
3313,Create a memory hog scenario targeting namespace production,krknctl run node-memory-hog --namespace production,,node-memory-hog
3314,I need to run I/O stress for 120 seconds with 50% write and send results to ES,krknctl run node-io-hog --chaos-duration 120 --io-write-bytes 50% --enable-es True --es-server https://elasticsearch.cluster.com --es-port 9200 --es-metrics-index metrics --es-alerts-index alerts,,node-io-hog
3315,Command to block ingress traffic with telemetry and archive path,krknctl run network-chaos --traffic-type ingress --duration 60 --network-params '{latency: 50ms}' --telemetry-enabled True --telemetry-archive-path /backup/ingress --telemetry-group ingress-fault,,network-chaos
3316,run node disruption on BM,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual path to your scenario file,node-scenarios-bm
3317,Run a VM failure scenario in namespace test with kill count of 1,krknctl run kubevirt-outage --namespace test --vm-name my-vm --kill-count 1,,kubevirt-outage
3318,Execute pod failure scenario for 10 minutes with namespace test,krknctl run pod-scenarios --namespace test --kill-timeout 600,,pod-scenarios
3319,Run a container outage test in dev environment with label app=frontend,krknctl run container-scenarios --namespace dev --label-selector app=frontend,,container-scenarios
3320,Run io hog using 25m write with 90s duration,krknctl run node-io-hog --io-write-bytes 25m --chaos-duration 90,,node-io-hog
3321,Create an ingress and egress block for pods labeled app=backend in namespace test,"krknctl run application-outages --namespace <TARGET_NAMESPACE> --pod-selector '{app: backend}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 600",Replace <TARGET_NAMESPACE> with the target namespace,application-outages
3322,Execute a VM outage scenario with health check every 5 minutes.,krknctl run kubevirt-outage --namespace default --vm-name vm-1 --health-check-url https://cluster.status.com/health --health-check-interval 300 --health-check-verify enable,,kubevirt-outage
3323,Inject fault to cause pod outage in the test namespace,krknctl run application-outages --namespace test --pod-selector '{app: api}' --chaos-duration 120,,application-outages
3324,run node scenario on bare metal with the given config,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your base64-encoded scenario file,node-scenarios-bm
3325,Perform an advanced bare metal node test with full metric capture and telemetry,krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt --capture-metrics True --metrics-profile /metrics/profile.yaml --telemetry-enabled True --telemetry-api-url https://telemetry.example.com/api --telemetry-username telemetry-user --telemetry-password <TELEMETRY_PASSWORD> --telemetry-backup-threads 5,Replace <TELEMETRY_PASSWORD> with the actual telemetry password,node-scenarios-bm
3326,do service disruption on pods with label app=api,krknctl run service-disruption-scenarios --label-selector app=api,,service-disruption-scenarios
3327,pod network chaos for 10 minutes in kube-system,"krknctl run pod-network-chaos --namespace kube-system --label-selector app=api --traffic-type '[ingress,egress]' --test-duration 600",,pod-network-chaos
3328,"For our resilience test, we're introducing packet loss to simulate network instability.",krknctl run network-chaos --traffic-type ingress --duration 600 --network-params '{loss: 0.1}' --label-selector node-role.kubernetes.io/worker,,network-chaos
3329,Use krknctl to run container disruption in namespace default,krknctl run container-scenarios --namespace default,,container-scenarios
3330,Run memory exhaustion on pods labeled app=api in production namespace,krknctl run node-memory-hog --memory-consumption 90% --namespace production,,node-memory-hog
3331,What's the command to filter ingress on pod with selector app=frontend?,krknctl run pod-network-filter --ingress True --egress False --ports 80 --pod-selector app=frontend,,pod-network-filter
3332,How do I run a time skew on nodes in the kube-system namespace?,krknctl run time-scenarios --object-type node --namespace kube-system,,time-scenarios
3333,Create memory hog on a specific node with alert monitoring and data capture,krknctl run node-memory-hog --chaos-duration 20 --memory-consumption 90% --node-selector kubernetes.io/hostname=node3 --capture-metrics True --enable-alerts True,,node-memory-hog
3334,Reboot nodes labeled node=worker-1 for 90 seconds,krknctl run node-scenarios --action node_reboot_scenario --node-name worker-1 --duration 90,,node-scenarios
3335,How do I run the PVC fill scenario to consume 100% of a volume in namespace 'test'?,krknctl run pvc-scenario --namespace test --fill-percentage 100,,pvc-scenarios
3336,Run VMI deletion with telemetry and alert monitoring in namespace default,krknctl run kubevirt-outage --namespace default --vm-name my-vm --prometheus-url http://localhost:9090 --check-critical-alerts true,,kubevirt-outage
3337,"Run node I/O stress with telemetry, logs backup and group tagging",krknctl run node-io-hog --chaos-duration 90 --io-write-bytes 20m --namespace <TARGET_NAMESPACE> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-logs-backup True --telemetry-group node-io-hog,Replace <TARGET_NAMESPACE> with the target namespace,node-io-hog
3338,Filter network traffic for 90 seconds on eth0 interface with port 2379,krknctl run node-network-filter --ingress True --egress True --interfaces eth0 --ports 2379 --chaos-duration 90,,node-network-filter
3339,Deploy a network disruption to simulate packet loss in production namespace.,"krknctl run network-chaos --traffic-type ingress --network-params ""{loss: 0.1}"" --label-selector node-role.kubernetes.io/master",,network-chaos
3340,How do I run a container scenario with 10 minutes recovery in production namespace?,krknctl run container-scenarios --namespace production --expected-recovery-time 600,,container-scenarios
3341,Create memory pressure using telemetry and backup threads,krknctl run node-memory-hog --chaos-duration 60 --memory-consumption 85% --namespace production --telemetry-enabled True --telemetry-backup-threads 3 --telemetry-api-url https://telemetry.example.com --telemetry-group memory-pressure,,node-memory-hog
3342,We need to ensure our bare metal nodes can withstand disruptive events using the defined scenario.,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE_PATH>,Replace <PLACEHOLDER_SCENARIO_FILE_PATH> with the actual path to the base64-encoded scenario file.,node-scenarios-bm
3343,Fire off the service disruption scenario with 3 runs,krknctl run service-disruption-scenarios --runs 3,,service-disruption-scenarios
3344,"I need to run a pod chaos test with alerts and telemetry in the monitoring namespace, targeting the frontend app.",krknctl run pod-scenarios --namespace monitoring --pod_label app=frontend --disruption_count 1 --enable-alerts True --alerts-path /alerts.json --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-run-tag frontend-test,,pod-scenarios
3345,gimme the command for SYN attack on namespace production with ES enabled,krknctl run syn-flood --target-port 80 --namespace production --chaos-duration 300 --enable-es True --es-server http://localhost --es-port 9200 --es-password password --es-metrics-index metrics --es-alerts-index alerts,,syn-flood
3346,"For our audit, we need to simulate bandwidth limit on the default namespace.",krknctl run network-chaos --traffic-type egress --duration 300 --label-selector node-role.kubernetes.io/worker --egress '{bandwidth: 25mbit}',,network-chaos
3347,run disk I/O with namespace dev and ES integration,krknctl run node-io-hog --namespace dev --io-write-bytes 50% --enable-es True --es-server http://elasticsearch.local --es-port 9200 --es-metrics-index dev-io-metrics --es-username user --es-password secret,,node-io-hog
3348,Run zone outage in AWS using custom telemetry and backup threads,krknctl run zone-outages --cloud-type aws --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-54321 --zone eu-central-1a --telemetry-enabled True --telemetry-backup-threads 4 --telemetry-api-url https://custom.telemetry.com,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with valid AWS credentials,zone-outages
3349,Execute time drift scenario on pods matching app=web in namespace dev,krknctl run time-scenarios --label-selector app=web --namespace dev --action skew_time --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username elastic --es-password changeme --es-metrics-index dev-metrics --es-telemetry-index dev-telemetry,,time-scenarios
3350,run disk pressure in dev namespace,krknctl run node-io-hog --namespace dev,,node-io-hog
3351,How can I run container disruption for pods labeled tier=backend in namespace staging?,krknctl run container-scenarios --namespace staging --label-selector tier=backend,,container-scenarios
3352,"Run a service outage scenario in the dev namespace with label app=frontend for 5 minutes, capture metrics, run in detached mode, and check alerts",krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --block-traffic-type '[Ingress]' --chaos-duration 300 --detached True --capture-metrics True --enable-alerts True,,application-outages
3353,Execute memory hog for 120 seconds on nodes with label node-role=worker,krknctl run node-memory-hog --chaos-duration 120 --node-selector node-role.kubernetes.io/worker= --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,node-memory-hog
3354,Execute node failure scenario with monitoring and 5 iterations,krknctl run node-scenarios --action node_stop_scenario --label-selector node-role=worker --kube-check True --runs 5,,node-scenarios
3355,Spin up a node outage on bare metal using base64 encoded config,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual path to your scenario file,node-scenarios-bm
3356,Execute pod disruption in the my-app-.* namespace and ensure health checks use basic auth with 5-minute intervals,krknctl run pod-scenarios --namespace my-app-.* --pod-label app=worker --health-check-url https://worker.health --health-check-interval 300 --health-check-auth user:pass,,pod-scenarios
3357,gimme the command for pvc fill in default namespace,krknctl run pvc-scenario --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace.,pvc-scenarios
3358,We're conducting a dry run of the node outage process using IPMI on bare metal systems.,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE_PATH>,Replace <PLACEHOLDER_SCENARIO_FILE_PATH> with the actual path to the base64-encoded scenario file.,node-scenarios-bm
3359,Run a container restart in namespace default with monitoring and alerting.,krknctl run container-scenarios --namespace default --label-selector app=web --capture-metrics True --enable-alerts True,,container-scenarios
3360,Run I/O stress with Prometheus and monitoring path,krknctl run node-io-hog --chaos-duration 180 --io-block-size 1m --namespace monitoring --prometheus-url http://prometheus:9090 --metrics-path /metrics/custom.json,,node-io-hog
3361,What would the command be to block traffic to a specific zone in AWS?,krknctl run zone-outages --cloud-type aws,,zone-outages
3362,Run a VMI deletion for 90 seconds in namespace staging,krknctl run kubevirt-outage --namespace staging --vm-name <PLACEHOLDER_VM_NAME> --timeout 90,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
3363,What command should I use to run service disruption in prod namespace with telemetry and logs backup?,krknctl run service-disruption-scenarios --namespace prod --telemetry-enabled True --telemetry-logs-backup True --telemetry-group production-scenario,,service-disruption-scenarios
3364,Filter network traffic on eth0 and eth1 for port 53,"krknctl run node-network-filter --ingress True --egress True --interfaces eth0,eth1 --ports 53 --namespace <TARGET_NAMESPACE>",Replace <TARGET_NAMESPACE> with the desired namespace,node-network-filter
3365,Gimme the command to block egress traffic for pods labeled app=backend in the test namespace.,krknctl run pod-network-chaos --namespace test --label-selector app=backend --traffic-type '[egress]',,pod-network-chaos
3366,Give me the krknctl command to simulate a TCP SYN surge on port 9000?,krknctl run syn-flood --target-port 9000,,syn-flood
3367,I need to run an application outage scenario targeting pods with label app=frontend,krknctl run application-outages --namespace <TARGET_NAMESPACE> --pod-selector '{app: frontend}' --chaos-duration 900,Replace <TARGET_NAMESPACE> with the target namespace,application-outages
3368,How do I simulate a network filter on pods in the dev namespace targeting app=backend?,"krknctl run pod-network-filter --ingress True --egress True --ports 80,443 --pod-selector app=backend --namespace dev --chaos-duration 120",,pod-network-filter
3369,Run disk I/O stress with telemetry and event backup,krknctl run node-io-hog --telemetry-enabled True --telemetry-events-backup True --telemetry-group disk-stress --node-mount-path /opt/data,,node-io-hog
3370,Execute container disruption targeting node with label status=ready,krknctl run container-scenarios --node-selector status=ready,,container-scenarios
3371,Give me the krknctl command to fill up a PVC in namespace 'app-ns' to 90% capacity.,krknctl run pvc-scenario --namespace app-ns --fill-percentage 90,,pvc-scenarios
3372,For our resilience test we need to exhaust memory on the node for 90 seconds.,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 90% --namespace monitoring,,node-memory-hog
3373,Run an app outage in namespace monitoring for pods labeled tier=backend,krknctl run application-outages --namespace monitoring --pod-selector '{tier: backend}' --chaos-duration 300,,application-outages
3374,Run a node disk detach attach with telemetry and group,krknctl run node-scenarios --action node_disk_detach_attach_scenario --telemetry-enabled True --telemetry-group disk-chaos-tests --duration 90,,node-scenarios
3375,Execute a VMI deletion chaos scenario in the production namespace,krknctl run kubevirt-outage --namespace production --vm-name my-vm,,kubevirt-outage
3376,delete pods matching app=web in namespace monitoring,krknctl run pod-scenarios --namespace monitoring --pod-label app=web,,pod-scenarios
3377,Run pod network chaos with pod name api-pod in namespace prod,"krknctl run pod-network-chaos --namespace prod --pod-name api-pod --traffic-type '[ingress,egress]' --test-duration 120",,pod-network-chaos
3378,Execute a container disruption in namespace production with label selector app=api and enable health check with exit on failure,krknctl run container-scenarios --namespace production --label-selector app=api --health-check-url https://health.prod.com --health-check-exit on-failure,,container-scenarios
3379,We have a chaos drill next week and need to create memory pressure on worker nodes for 120 seconds with 50% memory consumption.,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 50% --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
3380,Execute a container failure test in the kube-system namespace with metrics capture and telemetry,krknctl run container-scenarios --namespace kube-system --label-selector app=kubelet --container-name kubelet --capture-metrics True --telemetry-enabled True,,container-scenarios
